[Code]|[ControlNumber]|[Name]|[OKPID]
03 2212|4|- марки КЖ - коксовый жирный|413
03 2220|8|Уголь кузнецкий / марок К2, Ж, ОС, Г, СС, Т, Д, А, ПА|414
03 2221|3|- марки К2 - коксовый второй|415
03 2222|9|- марки Ж - жирный|416
03 2223|4|- марки ОС - отощенный спекающийся|417
03 2224|3|- марки Г - газовый|418
03 2225|5|- марки СС - слабоспекающийся|419
03 2226|0|- марки Т - тощий|420
03 2227|6|- марки Д - длиннопламенный|421
03 2228|1|- марки А - антрацит|422
03 2229|7|- марки ПА - полуантрацит|423
03 2400|6|Уголь европейской части России и Урала /|424
03 2411|6|- марки Г - газовый|425
03 2430|1|Уголь подмосковный /|426
03 2431|5|- марки Б - бурый|427
03 2440|4|Уголь воркутинский /|428
03 2441|5|- марки К - коксовый|429
03 2442|5|- марки Ж - жирный|430
03 2450|9|Уголь интинский /|431
03 2451|4|- марки Д - длиннопламенный|432
03 2460|3|Уголь кизеловский /|433
03 2461|9|- марки Ж - жирный|434
03 2462|4|- марки Г - газовый|435
03 2470|8|Уголь челябинский /|436
03 2471|3|- марки Б - бурый|437
03 2480|2|Уголь / свердловский|438
03 2481|8|- буланашский марки Г - газовый|439
03 2482|3|- егоршинский марки ПА - полуантрацит|440
03 2483|9|- богословский марки Б - бурый|441
03 2484|4|- волчанский марки Б - бурый|442
03 2490|7|Уголь башкирский /|443
03 2491|2|- марки Б - бурый|444
03 2500|8|Уголь Сибири|445
03 2503|6|Уголь читинский бурый *|446
03 2510|4|Уголь черемховский /|447
03 2511|1|- марки Д - длиннопламенный|448
03 2520|9|Уголь азейский /|449
03 2521|4|- марки Б - бурый|450
03 2530|3|Уголь / читинский|451
03 2531|9|- букачачинский марки Г - газовый|452
03 2532|4|- арбагарский марки Б - бурый|453
03 2533|9|- тарбагатайский марки Б - бурый|454
03 2534|5|- харанорский марки Б - бурый|455
03 2535|0|- черновский марки Б - бурый|456
03 2540|8|Уголь гусиноозерский /|457
03 2541|3|- марки Б - бурый|458
03 2550|2|Уголь хакасский (минусинский) /|459
03 2551|8|- марки КЖ - коксовый жирный|460
03 2552|3|- марки Г - газовый|461
03 2553|9|- марки Д - длиннопламенный|462
03 2560|7|Уголь / канско-ачинский|463
03 2561|2|- ирша-бородинский марки Б - бурый|464
03 2562|8|- назаровский марки Б - бурый|465
03 2570|1|Уголь тувинский /|466
03 2571|7|- марки К - коксовый|467
03 2572|2|- марки КЖ - коксовый жирный|468
03 2573|8|- марки Ж - жирный|469
03 2580|6|Уголь тунгусский (котуйский) /|470
03 2581|1|- марки Д - длиннопламенный|471
03 2590|0|Уголь / якутский|472
03 2591|6|- зырянский марки Ж - жирный|473
03 2592|1|- чульманский марки Ж - жирный|474
03 2593|7|- нерюнгринский марки СС - слабоспекающийся|475
03 2594|2|- джебарики-хайский марки Д - длиннопламенный|476
03 2595|8|- сангарский марки Д - длиннопламенный|477
03 2596|3|- кангаласский марки Б - бурый|478
