FullName|ISOAlpha2|ISOAlpha3|NumericCode|OKSMID|ShortName
|SY|SYR|760|193|СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА
Словацкая Республика|SK|SVK|703|194|СЛОВАКИЯ
Республика Словения|SI|SVN|705|195|СЛОВЕНИЯ
Соединенное Королевство Великобритании и Северной Ирландии|GB|GBR|826|196|СОЕДИНЕННОЕ КОРОЛЕВСТВО
Соединенные Штаты Америки|US|USA|840|197|СОЕДИНЕННЫЕ ШТАТЫ
|SB|SLB|90|198|СОЛОМОНОВЫ ОСТРОВА
Сомалийская Республика|SO|SOM|706|199|СОМАЛИ
Республика Судан|SD|SDN|729|200|СУДАН
Республика Суринам|SR|SUR|740|201|СУРИНАМ
Республика Сьерра-Леоне|SL|SLE|694|202|СЬЕРРА-ЛЕОНЕ
Республика Таджикистан|TJ|TJK|762|203|ТАДЖИКИСТАН
Королевство Таиланд|TH|THA|764|204|ТАИЛАНД
|TW|TWN|158|205|ТАЙВАНЬ (КИТАЙ)
Объединенная Республика Танзания|TZ|TZA|834|206|ТАНЗАНИЯ, ОБЪЕДИНЕННАЯ РЕСПУБЛИКА
Тоголезская Республика|TG|TGO|768|207|ТОГО
|TK|TKL|772|208|ТОКЕЛАУ
Королевство Тонга|TO|TON|776|209|ТОНГА
Республика Тринидад и Тобаго|TT|TTO|780|210|ТРИНИДАД И ТОБАГО
|TV|TUV|798|211|ТУВАЛУ
Тунисская Республика|TN|TUN|788|212|ТУНИС
Туркменистан|TM|TKM|795|213|ТУРКМЕНИЯ
Турецкая Республика|TR|TUR|792|214|ТУРЦИЯ
Республика Уганда|UG|UGA|800|215|УГАНДА
Республика Узбекистан|UZ|UZB|860|216|УЗБЕКИСТАН
|UA|UKR|804|217|УКРАИНА
|WF|WLF|876|218|УОЛЛИС И ФУТУНА
Восточная Республика Уругвай|UY|URY|858|219|УРУГВАЙ
|FO|FRO|234|220|ФАРЕРСКИЕ ОСТРОВА
Республика Фиджи|FJ|FJI|242|221|ФИДЖИ
Республика Филиппины|PH|PHL|608|222|ФИЛИППИНЫ
Финляндская Республика|FI|FIN|246|223|ФИНЛЯНДИЯ
|FK|FLK|238|224|ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ)
Французская Республика|FR|FRA|250|225|ФРАНЦИЯ
|GF|GUF|254|226|ФРАНЦУЗСКАЯ ГВИАНА
|PF|PYF|258|227|ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ
|TF|ATF|260|228|ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ
Республика Хорватия|HR|HRV|191|229|ХОРВАТИЯ
|CF|CAF|140|230|ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА
Республика Чад|TD|TCD|148|231|ЧАД
|ME|MNE|499|232|ЧЕРНОГОРИЯ
|CZ|CZE|203|233|ЧЕШСКАЯ РЕСПУБЛИКА
Республика Чили|CL|CHL|152|234|ЧИЛИ
Швейцарская Конфедерация|CH|CHE|756|235|ШВЕЙЦАРИЯ
Королевство Швеция|SE|SWE|752|236|ШВЕЦИЯ
|SJ|SJM|744|237|ШПИЦБЕРГЕН И ЯН МАЙЕН
Демократическая Социалистическая Республика Шри-Ланка|LK|LKA|144|238|ШРИ-ЛАНКА
Республика Эквадор|EC|ECU|218|239|ЭКВАДОР
Республика Экваториальная Гвинея|GQ|GNQ|226|240|ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ
|AX|ALA|248|241|ЭЛАНДСКИЕ ОСТРОВА
Республика Эль-Сальвадор|SV|SLV|222|242|ЭЛЬ-САЛЬВАДОР
|ER|ERI|232|243|ЭРИТРЕЯ
Эстонская Республика|EE|EST|233|244|ЭСТОНИЯ
Федеративная Демократическая Республика Эфиопия|ET|ETH|231|245|ЭФИОПИЯ
Южно-Африканская Республика|ZA|ZAF|710|246|ЮЖНАЯ АФРИКА
|GS|SGS|239|247|ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА
Республика Южная Осетия|OS|OST|896|248|ЮЖНАЯ ОСЕТИЯ
Республика Южный Судан|SS|SSD|728|249|ЮЖНЫЙ СУДАН
|JM|JAM|388|250|ЯМАЙКА
|JP|JPN|392|251|ЯПОНИЯ
